diametro	altura	volumen	variedad
8.3	70	10.3	Blanco
8.6	65	10.3	Amarillo
8.8	63	10.2	Rosa
10.5	72	16.4	Rosa
10.5	81	18.8	Rosa
10.8	83	19.7	Rosa
11	66	15.6	Blanco
11	75	NA	Amarillo
11.1	80	22.6	NA
11.2	75	19.9	Blanco
11.3	79	24.2	Amarillo
11.4	76	21	Blanco
11.4	76	21.4	Rosa
11.7	69	21.3	Rosa
12	75	19.1	Amarillo
12.9	74	22.2	Amarillo
12.9	85	33.8	Blanco
13.3	86	27.4	Amarillo
13.7	71	25.7	Rosa
13.8	64	24.9	Rosa
14	78	NA	Amarillo
14.2	80	31.7	Amarillo
14.5	74	36.3	Rosa
16	72	38.3	Rosa
16.3	77	42.6	Rosa
17.3	81	55.4	Blanco
17.5	82	55.7	Blanco
17.9	80	58.3	Amarillo
18	80	NA	Rosa
18	80	51	Blanco
20.6	87	77	Rosa
