T	Edad	Altura	Peso	Grupo	Sexo	Acceso	I_1opcion	n_herm	n_miem	n_veh	Est_Est	Red	Plataf
2/11/2015 12:44:20	20	178	82	E	Varón	Bachillerato o similar	Sí	2	5	2	No	Facebook	Swad
2/22/2015 12:26:42	18	168	87	A	Varón	Bachillerato o similar	Sí	2	2	1	Sí	Otra	Swad
2/22/2015 12:30:48	19	194	94	B	Varón	Bachillerato o similar	Sí	2	4	2	Sí	Twitter	Swad
2/22/2015 12:46:10	19	159	62	A	Mujer	Bachillerato o similar	Sí	1	3	2	No	Twitter	Swad
2/22/2015 13:19:58	21	177	78	B	Varón	Ciclo Formativo Grado Superior	No	3	5	2	No	Twitter	Swad
2/22/2015 13:20:00	18	180	53	A	Varón	Bachillerato o similar	Sí	2	4	3	No	Otra	Swad
2/22/2015 13:50:29	20	180	62	A	Varón	Ciclo Formativo Grado Superior	Sí	6	4	3	No	Otra	Swad
2/22/2015 13:51:16	18	168	68	A	Varón	Bachillerato o similar	Sí	3	3	1	No	Twitter	Swad
2/22/2015 13:58:51	19	190	82	B	Varón	Bachillerato o similar	Sí	3	5	1	No	Facebook	Swad
2/22/2015 14:09:28	18	187	79	B	Mujer	Bachillerato o similar	Sí	2	4	2	No	Otra	Swad
2/22/2015 14:15:24	24	181	100	A	Varón	Ciclo Formativo Grado Superior	Sí	2	3	2	Sí	Facebook	Swad
2/22/2015 14:47:36	18	163	56	A	Mujer	Bachillerato o similar	Sí	3	5	2	Sí	Facebook	Swad
2/22/2015 15:13:38	21	200	90	D	Varón	Bachillerato o similar	Sí	2	3	1	Sí	Facebook	Swad
2/22/2015 15:20:41	22	180	79	B	Varón	Ciclo Formativo Grado Superior	Sí	2	4	2	No	Facebook	Swad
2/22/2015 16:07:27	18	185	70	B	Varón	Bachillerato o similar	Sí	2	4	2	No	Facebook	Swad
2/22/2015 16:15:47	18	173	60	B	Varón	Bachillerato o similar	Sí	2	4	2	No	Otra	Moodle
2/22/2015 17:17:42	18	172	68	A	Varón	Bachillerato o similar	Sí	2	3	1	No	Facebook	Swad
2/22/2015 17:25:36	19	170	67	B	Varón	Bachillerato o similar	Sí	3	5	2	Sí	Facebook	Swad
2/22/2015 17:38:18	19	185	70	B	Varón	Bachillerato o similar	Sí	3	5	2	No	Otra	Swad
2/22/2015 17:38:45	24	180	74	A	Varón	Bachillerato o similar	Sí	2	4	4	No	Twitter	Swad
2/22/2015 18:09:34	18	193	94	A	Varón	Bachillerato o similar	Sí	1	4	1	No	Twitter	Swad
2/22/2015 18:11:45	24	189	75	B	Varón	Bachillerato o similar	Sí	1	2	0	No	Twitter	Swad
